"JOB_ID";"Agency";"Posting_Type";"Number_Of_Positions";"Civil_Service_Title";"Job_Category";"Full_Time_Part_Time_Indicator";"Career_Level";"Work_Location";"Posting_Date";"Salary_Brackets"
631762;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"375 Pearl Street";"3/29/2024";"$ 65 000 - $ 75 000"
645891;"DEPT OF ENVIRONMENT PROTECTION";"External";2;"ASSISTANT CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"8/19/2024";"$ 65 000 - $ 75 000"
638323;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Social Services";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"6/13/2024";"$ 65 000 - $ 75 000"
710034;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"SR HEALTHCARE PROG PLAN ANLYST";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"4/7/2025";"$ 65 000 - $ 75 000"
714598;"DEPARTMENT OF FINANCE";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"66 John Street, New York, Ny";"5/20/2025";"$ 65 000 - $ 75 000"
557379;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"CLERICAL ASSOCIATE";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"123 William Street, NY, NY";"10/25/2022";"$ 35 000 - $ 45 000"
703210;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"SUMMER COLLEGE INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Student";"96-05 Horace Harding Expway";"2/18/2025";"$ 35 000 - $ 45 000"
628530;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"3/6/2024";"$ 65 000 - $ 75 000"
715489;"DEPT OF PARKS & RECREATION";"External";1;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"Flushing Meadow Pk Olmsted Ctr";"5/23/2025";"$ 85 000 -$ 100 000"
714424;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"SUPERVISOR OF MECHANICS(MECHAN";"Building Operations & Maintanence";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"5/21/2025";"More than $ 140 000"
686285;"DEPT OF YOUTH & COMM DEV SRVS";"External";1;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"2 Lafayette St., N.Y.";"4/7/2025";"$ 85 000 -$ 100 000"
572056;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"CITY RESEARCH SCIENTIST";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"96-05 Horace Harding Expway";"3/28/2023";"$ 100 000 - $ 120 000"
705585;"BRONX DISTRICT ATTORNEY";"Internal";1;"COMMUNITY ASSOCIATE";"Communications & Intergovernmental Affairs";"Full-Time";"Experienced (non-manager)";"198 E161St Street Bronx N.Y.";"3/6/2025";"$ 45 000 - $ 55 000"
614773;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ASSOCIATE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"71 Smith Avenue, Kingston, Ny";"12/13/2023";"$ 120 000 - $ 140 000"
614691;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE CONSTRUCTION PR";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"465 Columbus Ave. Valhalla, Ny";"11/27/2023";"More than $ 140 000"
631762;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"375 Pearl Street";"3/29/2024";"$ 65 000 - $ 75 000"
599667;"DEPARTMENT OF CORRECTION";"Internal";1;"CITY MEDICAL DIRECTOR";"Health";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"8/21/2023";"More than $ 140 000"
711902;"DEPT OF HEALTH/MENTAL HYGIENE";"External";2;"SR HEALTHCARE PROG PLAN ANLYST";"Health";"Full-Time";"Experienced (non-manager)";"90-27 Parsons Boulevard";"4/23/2025";"$ 55 000 - $ 65 000"
708843;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ARCHITECT";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"4/15/2025";"$ 85 000 -$ 100 000"
700519;"ADMIN TRIALS AND HEARINGS";"External";2;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"1/30/2025";"$ 100 000 - $ 120 000"
687012;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"IT SECURITY SPECIALIST";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"11/19/2024";"More than $ 140 000"
702068;"MAYORS OFFICE OF CONTRACT SVCS";"Internal";1;"COLLEGE AIDE (ALL CITY DEPTS)";"Administration & Human Resources";"Full-Time";"Student";"255 Greenwich Street";"3/7/2025";"$ 35 000 - $ 45 000"
714826;"HOUSING PRESERVATION & DVLPMNT";"Internal";1;"ASSOCIATE HOUSING DEVELOPMENT";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"100 Gold Street";"5/15/2025";"$ 85 000 -$ 100 000"
711286;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"4/16/2025";"$ 65 000 - $ 75 000"
715041;"DEPARTMENT OF TRANSPORTATION";"External";4;"TRAFFIC DEVICE MAINTAINER";"Public Safety, Inspections, & Enforcement";"Full-Time";"Entry-Level";"58-50 57 Road, Maspeth, N.Y.";"5/21/2025";"$ 75 000 - $ 85 000"
696667;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"TRANSPORTATION SPECIALIST";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"1/7/2025";"$ 120 000 - $ 140 000"
711648;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"COMMUNITY COORDINATOR";"Mental Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"4/28/2025";"$ 65 000 - $ 75 000"
711464;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"TELECOMMUNICATIONS ASSOCIATE (";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"4/17/2025";"$ 85 000 -$ 100 000"
563844;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"96-05 Horace Harding Expway";"12/12/2022";"$ 120 000 - $ 140 000"
698215;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"CYBER SECURITY ANALYST";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"1/24/2025";"$ 85 000 -$ 100 000"
706709;"DEPT OF YOUTH & COMM DEV SRVS";"Internal";2;"COMMUNITY COORDINATOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"123 William Street, NY, NY";"5/9/2025";"$ 85 000 -$ 100 000"
634284;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"154 St. Powells Cove-Whiteston";"6/13/2024";"More than $ 140 000"
552250;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"9/30/2022";"More than $ 140 000"
581069;"DEPT OF ENVIRONMENT PROTECTION";"Internal";5;"ASSISTANT CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"4/8/2023";"$ 85 000 -$ 100 000"
657436;"NYC HOUSING AUTHORITY";"External";1;"STAFF ANALYST";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"LHD - PROJECT BASED UNIT";"5/14/2025";"$ 85 000 -$ 100 000"
702183;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CONSULTANT (PUBLIC HEALTH-SOCI";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"2/11/2025";"$ 85 000 -$ 100 000"
711733;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ASSISTANT ENVIRONMENTAL ENGINE";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"5/13/2025";"$ 85 000 -$ 100 000"
703932;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/5/2025";"$ 100 000 - $ 120 000"
691060;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"DIRECTOR OF PUBLIC RELATIONS (";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"12/4/2024";"More than $ 140 000"
687176;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"More than $ 140 000"
620174;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ASSOCIATE BENEFITS OPPORTUNITY";"Social Services";"Full-Time";"Experienced (non-manager)";"109 E 16Th St., N.Y.";"12/19/2023";"$ 75 000 - $ 85 000"
596617;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"CASEWORKER";"Social Services";"Full-Time";"Entry-Level";"115 Chrystie Street";"8/3/2023";"$ 45 000 - $ 55 000"
647488;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"ECONOMIST";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"2/5/2025";"$ 65 000 - $ 75 000"
707786;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CITY RESEARCH SCIENTIST";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"3/18/2025";"$ 85 000 -$ 100 000"
698695;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";2;"CONSULTANT (PUBLIC HEALTH-SOCI";"Health";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"1/21/2025";"$ 85 000 -$ 100 000"
703004;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"COMPUTER SYSTEMS MANAGER";"Technology, Data & Innovation";"Full-Time";"Manager";"470 Vanderbilt Ave";"2/18/2025";"More than $ 140 000"
705289;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"STAFF ANALYST";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/6/2025";"$ 65 000 - $ 75 000"
708031;"HOUSING PRESERVATION & DVLPMNT";"Internal";1;"EXECUTIVE AGENCY COUNSEL";"Legal Affairs";"Full-Time";"Manager";"100 Gold Street";"3/19/2025";"$ 120 000 - $ 140 000"
634846;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ASSOCIATE PUBLIC HEALTH SANITA";"Public Safety, Inspections, & Enforcement";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"6/13/2024";"$ 75 000 - $ 85 000"
617192;"ADMIN FOR CHILDREN'S SVCS";"External";17;"PROTECTION AGENT (ACS)";"Public Safety, Inspections, & Enforcement";"Full-Time";"Experienced (non-manager)";"150 William Street, New York N";"3/15/2024";"$ 85 000 -$ 100 000"
710793;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"4/16/2025";"$ 100 000 - $ 120 000"
554120;"DEPT OF ENVIRONMENT PROTECTION";"Internal";8;"ASSISTANT CHEMICAL ENGINEER (C";"Engineering, Architecture, and Planning";"Full-Time";"Executive";"96-05 Horace Harding Expway";"10/5/2022";"$ 85 000 -$ 100 000"
554402;"DEPT OF ENVIRONMENT PROTECTION";"External";10;"ENVIRONMENTAL ENGINEERING INTE";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"59-17 Junction Blvd Corona Ny";"11/16/2022";"$ 55 000 - $ 65 000"
645884;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"8/13/2024";"$ 65 000 - $ 75 000"
715026;"HOUSING PRESERVATION & DVLPMNT";"External";1;"ASSISTANT ARCHITECT";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"100 Gold Street";"5/19/2025";"$ 65 000 - $ 75 000"
629075;"DEPARTMENT OF TRANSPORTATION";"External";1;"ADM ENGINEER (NON MGRL)";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"3/7/2024";"More than $ 140 000"
715191;"DISTRICT ATTORNEY-MANHATTAN";"External";1;"SUMMER COLLEGE INTERN";"Administration & Human Resources";"Full-Time";"Entry-Level";"40 Worth St., N.Y.";"5/22/2025";"$ 35 000 - $ 45 000"
626064;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"ADMINISTRATIVE STAFF ANALYST";"Social Services";"Full-Time";"Manager";"375 Pearl Street";"2/6/2024";"More than $ 140 000"
570670;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"PUBLIC HEALTH NURSE";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"30-30 47TH AVE";"1/24/2023";"$ 75 000 - $ 85 000"
634027;"HRA/DEPT OF SOCIAL SERVICES";"External";2;"ASSOCIATE BENEFITS OPPORTUNITY";"Social Services";"Full-Time";"Experienced (non-manager)";"109 E 16Th St., N.Y.";"4/19/2024";"$ 100 000 - $ 120 000"
692867;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";2;"PUBLIC HEALTH SANITARIAN";"Health";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"12/11/2024";"$ 45 000 - $ 55 000"
590795;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ADMINISTRATIVE STAFF ANALYST (";"Social Services";"Full-Time";"Manager";"4 World Trade Center";"6/22/2023";"$ 120 000 - $ 140 000"
686161;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ENVIRONMENTAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"$ 100 000 - $ 120 000"
714324;"OFFICE OF THE COMPTROLLER";"External";1;"INVESTMENT MANAGER (COMPTROLLE";"Finace, Accounting, and Procurement";"Full-Time";"Manager";"1 Centre St., N.Y.";"5/12/2025";"More than $ 140 000"
683454;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PUBLIC HEALTH ADVISER";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"10/9/2024";"$ 55 000 - $ 65 000"
693226;"DEPT OF DESIGN & CONSTRUCTION";"Internal";4;"PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"12/16/2024";"$ 65 000 - $ 75 000"
705620;"FINANCIAL INFO SVCS AGENCY";"Internal";1;"IT SECURITY SPECIALIST";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"5 Manhattan West";"3/5/2025";"$ 100 000 - $ 120 000"
713717;"DISTRICT ATTORNEY-MANHATTAN";"Internal";1;"COMMUNITY ASSOCIATE";"Technology, Data & Innovation";"Full-Time";"Entry-Level";"80 Centre St., N.Y.";"5/6/2025";"$ 45 000 - $ 55 000"
699242;"DEPT OF ENVIRONMENT PROTECTION";"External";3;"SUMMER GRADUATE INTERN";"Legal Affairs";"Full-Time";"Student";"59-17 Junction Blvd Corona Ny";"2/20/2025";"$ 35 000 - $ 45 000"
708477;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"WATERSHED MAINTAINER";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"465 Columbus Ave. Valhalla, Ny";"3/28/2025";"$ 65 000 - $ 75 000"
711103;"DISTRICT ATTORNEY-MANHATTAN";"Internal";1;"CHIEF INVESTIGATING ACCOUNTANT";"Mental Health";"Full-Time";"Executive";"1 Hogan Pl./100 Centre St., N.";"4/24/2025";"$ 100 000 - $ 120 000"
700182;"NYC HOUSING AUTHORITY";"Internal";1;"AGENCY ATTORNEY";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"Corporate Secretary";"2/11/2025";"$ 100 000 - $ 120 000"
707643;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PUBLIC HEALTH ADVISER";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"3/18/2025";"$ 55 000 - $ 65 000"
638183;"DEPARTMENT OF TRANSPORTATION";"External";1;"CIVIL ENGINEERING INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"6/12/2024";"$ 65 000 - $ 75 000"
639515;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"CLERICAL ASSOCIATE";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"900 Sheridan Ave., Bronx";"7/1/2024";"$ 45 000 - $ 55 000"
712978;"HOUSING PRESERVATION & DVLPMNT";"External";1;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"100 Gold Street";"4/30/2025";"$ 85 000 -$ 100 000"
644978;"DEPARTMENT OF TRANSPORTATION";"External";3;"INVESTIGATOR";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"55 Water St Ny Ny";"8/6/2024";"$ 65 000 - $ 75 000"
711372;"OFFICE OF MANAGEMENT & BUDGET";"Internal";1;"BUDGET ANALYST (OMB)";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"255 Greenwich Street";"4/17/2025";"$ 100 000 - $ 120 000"
554377;"DEPT OF ENVIRONMENT PROTECTION";"External";8;"ENVIRONMENTAL ENGINEERING INTE";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"59-17 Junction Blvd Corona Ny";"10/25/2022";"$ 55 000 - $ 65 000"
540287;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"MACHINIST";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"59-17 Junction Blvd Corona Ny";"7/16/2022";"$ 75 000 - $ 85 000"
704105;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"COMMUNITY COORDINATOR";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/6/2025";"$ 75 000 - $ 85 000"
694824;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"1/7/2025";"More than $ 140 000"
625469;"HRA/DEPT OF SOCIAL SERVICES";"Internal";2;"COMPUTER SPECIALIST (SOFTWARE)";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"15 Metrotech";"1/31/2024";"$ 100 000 - $ 120 000"
699481;"DEPT. OF HOMELESS SERVICES";"Internal";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Entry-Level";"39 Auburn Pl, Brooklyn";"3/24/2025";"$ 65 000 - $ 75 000"
713836;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"PUBLIC HEALTH SANITARIAN";"Health";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"5/7/2025";"$ 45 000 - $ 55 000"
540908;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"CITY RESEARCH SCIENTIST";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"7/25/2022";"$ 100 000 - $ 120 000"
707860;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"161-169 East 110 Street";"3/19/2025";"$ 75 000 - $ 85 000"
713146;"HUMAN RIGHTS COMMISSION";"Internal";1;"HUMAN RIGHTS SPECIALIST (PR#99";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"1932 Arthur Ave 2Nd Flr Bronx";"4/30/2025";"$ 55 000 - $ 65 000"
715577;"BRONX DISTRICT ATTORNEY";"External";2;"COMMUNITY ASSOCIATE";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"260 E 161st St., Brx";"5/23/2025";"$ 55 000 - $ 65 000"
698164;"DEPT OF DESIGN & CONSTRUCTION";"Internal";2;"COMMUNITY COORDINATOR";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"1/28/2025";"$ 75 000 - $ 85 000"
686329;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"MACHINIST";"Health";"Full-Time";"Experienced (non-manager)";"455 First Ave., N.Y.";"10/29/2024";"Less than $ 30 000"
715371;"BRONX DISTRICT ATTORNEY";"External";1;"COMMUNITY COORDINATOR";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"198 E161St Street Bronx N.Y.";"5/21/2025";"$ 65 000 - $ 75 000"
711784;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"COMMUNITY COORDINATOR";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"30-30 47TH AVE";"4/22/2025";"$ 55 000 - $ 65 000"
708553;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"ASSOCIATE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/26/2025";"$ 85 000 -$ 100 000"
699700;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"2/25/2025";"$ 65 000 - $ 75 000"
639560;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"PUBLIC HEALTH NURSE";"Health";"Full-Time";"Experienced (non-manager)";"120-34 Queens Blvd, Kew Garden";"6/28/2024";"$ 85 000 -$ 100 000"
635199;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"RESEARCH ASSISTANT";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"59 Maiden Lane";"5/16/2024";"$ 85 000 -$ 100 000"
701945;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CITY RESEARCH SCIENTIST";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"2/10/2025";"$ 75 000 - $ 85 000"
714761;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ASSOCIATE COMMISSIONER (DDC)";"Finace, Accounting, and Procurement";"Full-Time";"Executive";"30-30 Thomson Ave L I City Qns";"5/15/2025";"More than $ 140 000"
708826;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ACCOUNTANT";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/28/2025";"$ 65 000 - $ 75 000"
702872;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"SUMMER COLLEGE INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Student";"465 Columbus Ave. Valhalla, Ny";"2/18/2025";"$ 35 000 - $ 45 000"
684916;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ASSISTANT MECHANICAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"$ 85 000 -$ 100 000"
683678;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ENVIRONMENTAL ENGINEERING INTE";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"96-05 Horace Harding Expway";"11/6/2024";"$ 65 000 - $ 75 000"
684798;"TAXI & LIMOUSINE COMMISSION";"Internal";1;"CYBER SECURITY ANALYST";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"33 Beaver St, New York Ny";"10/16/2024";"$ 100 000 - $ 120 000"
710116;"DEPARTMENT OF CORRECTION";"External";1;"DIRECTOR OF PUBLIC AFFAIRS";"Administration & Human Resources";"Full-Time";"Manager";"75-20 Astoria Blvd";"4/7/2025";"More than $ 140 000"
709693;"DISTRICT ATTORNEY RICHMOND COU";"External";1;"COMMUNITY ASSOCIATE";"Social Services";"Full-Time";"Experienced (non-manager)";"130 Stuyvesant Place, S.I.";"4/2/2025";"$ 55 000 - $ 65 000"
705251;"OFFICE OF EMERGENCY MANAGEMENT";"External";1;"EMERGENCY PREPARDNESS MANAGER";"Administration & Human Resources";"Full-Time";"Manager";"165 Cadman Plaza East";"5/8/2025";"$ 100 000 - $ 120 000"
688744;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"CIVIL ENGINEERING INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"30-30 Thomson Ave L I City Qns";"11/20/2024";"$ 65 000 - $ 75 000"
637616;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"71 Smith Avenue, Kingston, Ny";"7/30/2024";"More than $ 140 000"
714931;"DEPARTMENT OF BUILDINGS";"External";1;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"280 Broadway, 7th Floor, N.Y.";"5/16/2025";"$ 100 000 - $ 120 000"
686163;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"MECHANICAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"$ 100 000 - $ 120 000"
701709;"CIVILIAN COMPLAINT REVIEW BD";"Internal";1;"AGENCY ATTORNEY";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"100 Church St., N.Y.";"3/4/2025";"$ 100 000 - $ 120 000"
697916;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"NURSE PRACTITIONER(DEPT HEALTH";"Health";"Part Time";"Experienced (non-manager)";"NYC - All Boroughs";"1/13/2025";"Less than $ 30 000"
709136;"BRONX DISTRICT ATTORNEY";"Internal";10;"ASSISTANT DISTRICT ATTORNEY (S";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"198 E161St Street Bronx N.Y.";"3/27/2025";"More than $ 140 000"
634461;"HOUSING PRESERVATION & DVLPMNT";"Internal";1;"COMMUNITY COORDINATOR";"Public Safety, Inspections, & Enforcement";"Full-Time";"Experienced (non-manager)";"100 Gold Street";"4/25/2024";"$ 65 000 - $ 75 000"
708851;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ASSOCIATE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/27/2025";"$ 85 000 -$ 100 000"
