"JOB_ID";"Agency";"Posting_Type";"Number_Of_Positions";"Civil_Service_Title";"Job_Category";"Full_Time_Part_Time_Indicator";"Career_Level";"Work_Location";"Posting_Date";"Salary_Brackets"
540468;"BRONX DISTRICT ATTORNEY";"Internal";5;"ASSISTANT DISTRICT ATTORNEY (S";"Legal Affairs";"Full-Time";"Experienced (non-manager)";"198 E161St Street Bronx N.Y.";"7/14/2022";"More than $ 140 000"
681376;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"COLLEGE AIDE - ASSIGNMENT LEVE";"Health";"Part Time";"Experienced (non-manager)";"42-09 28th Street";"9/24/2024";"Less than $ 30 000"
706093;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMINISTRATIVE ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Manager";"96-05 Horace Harding Expway";"3/13/2025";"More than $ 140 000"
550629;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"ADMINISTRATIVE STAFF ANALYST (";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"9/19/2022";"$ 100 000 - $ 120 000"
698595;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"CLAIM SPECIALIST";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"59 Maiden Lane";"1/22/2025";"$ 100 000 - $ 120 000"
713803;"OFFICE OF THE COMPTROLLER";"Internal";1;"COMPUTER ASSOC (SOFTWARE)";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"1 Centre St., N.Y.";"5/6/2025";"$ 85 000 -$ 100 000"
702190;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ASSISTANT CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"3/3/2025";"$ 65 000 - $ 75 000"
702283;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"2/13/2025";"$ 120 000 - $ 140 000"
715336;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"ADMINISTRATIVE STAFF ANALYST (";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"5/21/2025";"More than $ 140 000"
707673;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"3/18/2025";"$ 75 000 - $ 85 000"
685657;"DEPARTMENT OF TRANSPORTATION";"Internal";1;"ASSOCIATE STAFF ANALYST";"Policy, Research, and Analysis";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"10/29/2024";"$ 100 000 - $ 120 000"
620849;"DEPARTMENT OF CORRECTION";"External";2;"ASSOCIATE COMMISSIONER (DOC)";"Legal Affairs";"Full-Time";"Manager";"75-20 Astoria Blvd";"12/21/2023";"More than $ 140 000"
714601;"NYC HOUSING AUTHORITY";"External";1;"CARETAKER (HA)";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"Brevoort";"5/19/2025";"$ 45 000 - $ 55 000"
589443;"DEPARTMENT OF TRANSPORTATION";"External";3;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"6/21/2023";"$ 85 000 -$ 100 000"
705458;"DEPT OF HEALTH/MENTAL HYGIENE";"External";3;"PUBLIC HEALTH SANITARIAN";"Public Safety, Inspections, & Enforcement";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"3/4/2025";"$ 45 000 - $ 55 000"
696686;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"ADMINISTRATIVE JOB OPPORTUNITY";"Social Services";"Full-Time";"Experienced (non-manager)";"109 E 16Th St., N.Y.";"1/7/2025";"$ 120 000 - $ 140 000"
694703;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PUBLIC HEALTH ADVISER";"Health";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"3/28/2025";"$ 55 000 - $ 65 000"
631079;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CITY MEDICAL SPECIALIST (PART-";"Constituent Services and Community Programs";"Part Time";"Experienced (non-manager)";"34-33 Junction Blvd Queens";"3/26/2024";"Less than $ 30 000"
697526;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ASSOCIATE STAFF ANALYST";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"470 Vanderbilt Ave";"2/4/2025";"$ 100 000 - $ 120 000"
634802;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ASSOCIATE BENEFITS OPPORTUNITY";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"4/30/2024";"$ 85 000 -$ 100 000"
622988;"DEPARTMENT OF TRANSPORTATION";"External";1;"COMPUTER SYSTEMS MANAGER";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"1/18/2024";"More than $ 140 000"
561334;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ADMIN COMMUNITY RELATIONS SPEC";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/20/2022";"$ 120 000 - $ 140 000"
681171;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"9/30/2024";"$ 65 000 - $ 75 000"
709323;"LAW DEPARTMENT";"Internal";1;"ASSISTANT CORPORATION COUNSEL";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"100 Church St., N.Y.";"3/28/2025";"More than $ 140 000"
695852;"DEPT OF DESIGN & CONSTRUCTION";"External";1;"ASSOCIATE PROJECT MANAGER";"Building Operations & Maintanence";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"1/13/2025";"$ 85 000 -$ 100 000"
683181;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"COMMUNITY COORDINATOR";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"485 Throop Ave Brooklyn";"10/9/2024";"$ 65 000 - $ 75 000"
712977;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ESTIMATOR (GENERAL CONSTRUCTIO";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"30-30 Thomson Ave L I City Qns";"5/7/2025";"$ 85 000 -$ 100 000"
695632;"DEPARTMENT OF TRANSPORTATION";"External";1;"STAFF ANALYST";"Administration & Human Resources";"Full-Time";"Entry-Level";"55 Water St Ny Ny";"1/1/2025";"$ 85 000 -$ 100 000"
540541;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"LANDSCAPE ARCHITECT";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"7/16/2022";"$ 85 000 -$ 100 000"
712566;"DEPT OF DESIGN & CONSTRUCTION";"Internal";1;"ADMINISTRATIVE STAFF ANALYST";"Finace, Accounting, and Procurement";"Full-Time";"Manager";"30-30 Thomson Ave L I City Qns";"4/29/2025";"$ 120 000 - $ 140 000"
